Image_Path,SH_Path,Carbon_Path,GT_Path
dataset/training/image/SN10_Forest_IMAGE/SN_10_0002.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0002.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0002.tif,dataset/training/label/SN10_Forest_GT/SN_10_0002.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0003.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0003.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0003.tif,dataset/training/label/SN10_Forest_GT/SN_10_0003.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0004.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0004.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0004.tif,dataset/training/label/SN10_Forest_GT/SN_10_0004.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0005.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0005.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0005.tif,dataset/training/label/SN10_Forest_GT/SN_10_0005.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0006.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0006.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0006.tif,dataset/training/label/SN10_Forest_GT/SN_10_0006.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0007.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0007.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0007.tif,dataset/training/label/SN10_Forest_GT/SN_10_0007.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0008.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0008.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0008.tif,dataset/training/label/SN10_Forest_GT/SN_10_0008.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0009.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0009.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0009.tif,dataset/training/label/SN10_Forest_GT/SN_10_0009.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0012.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0012.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0012.tif,dataset/training/label/SN10_Forest_GT/SN_10_0012.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0013.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0013.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0013.tif,dataset/training/label/SN10_Forest_GT/SN_10_0013.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0014.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0014.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0014.tif,dataset/training/label/SN10_Forest_GT/SN_10_0014.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0015.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0015.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0015.tif,dataset/training/label/SN10_Forest_GT/SN_10_0015.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0016.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0016.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0016.tif,dataset/training/label/SN10_Forest_GT/SN_10_0016.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0017.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0017.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0017.tif,dataset/training/label/SN10_Forest_GT/SN_10_0017.png
dataset/training/image/SN10_Forest_IMAGE/SN_10_0018.tif,dataset/training/image/SN10_Forest_SH/SN_10_SH_0018.tif,dataset/training/label/SN10_Forest_Carbon/SN_10_CQ_0018.tif,dataset/training/label/SN10_Forest_GT/SN_10_0018.png
